Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
37,Elliot Anderson,ENG,MF,1,1,7,0,3,4,2,0.38,0.0,3
37,Romelu Lukaku,BEL,FW,1,3,6,50,6,0,2,0.77,3.91,0
37,Adrien Rabiot,FRA,MF,1,1,9,0,4,5,2,0.96,0.0,0
37,Jude Bellingham,ENG,MF,1,13,19,37,16,3,4,3.92,1.79,0
37,Josip Stanisic,CRO,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Ivan Perisic,CRO,FW,1,2,2,50,2,0,1,0.32,3.15,2
37,Nathaniel Brown,GER,DF,1,2,3,33,3,0,0,0.21,4.87,11
37,Luka Modric,CRO,MF,1,0,1,0,1,0,1,0.05,0.0,7
37,Thomas Meunier,BEL,DF,1,1,2,0,1,1,0,0.11,0.0,0
37,Bradley Barcola,FRA,FW,1,5,10,30,7,3,1,1.99,1.51,0
37,Desire Doue,FRA,FW,1,8,13,8,4,9,1,0.71,1.41,2
37,Harry Kane,ENG,FW,1,11,23,26,18,5,5,3.69,1.63,0
37,Xaver Schlager,AUT,MF,1,0,1,0,0,1,0,0.02,0.0,0
37,Cody Gakpo,NED,FW,1,6,10,30,8,2,2,1.35,2.23,1
37,Morgan Rogers,ENG,MF,1,1,3,0,1,2,0,0.13,0.0,0
37,Konrad Laimer,AUT,MF,1,0,1,0,0,1,0,0.01,0.0,0
37,Memphis Depay,NED,FW,1,0,0,0,0,0,0,0.0,0.0,1
37,David Moller Wolfe,NOR,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Aurelien Tchouameni,FRA,MF,1,0,3,0,1,2,0,0.11,0.0,0
37,Dayot Upamecano,FRA,DF,1,2,4,0,3,1,2,0.54,0.0,0
37,Rafael Leao,POR,FW,1,1,4,25,3,1,0,0.33,3.07,3
37,Joao Cancelo,POR,DF,1,0,3,0,1,2,0,0.06,0.0,1
37,Bruno Fernandes,POR,MF,1,3,9,0,5,4,0,0.95,0.0,8
37,Tijjani Reijnders,NED,MF,1,2,4,0,3,1,0,0.48,0.0,10
37,Eberechi Eze,ENG,MF,1,0,5,0,2,3,0,0.28,0.0,1
37,Pedro Neto,POR,FW,1,0,1,0,0,1,0,0.0,0.0,0
37,Felix Nmecha,GER,MF,1,3,8,13,3,5,0,0.49,2.04,0
37,Mateo Kovacic,CRO,MF,1,4,5,0,1,4,0,0.46,0.0,0
37,Nadiem Amiri,GER,MF,1,1,2,0,1,1,0,0.26,0.0,0
37,Michael Gregoritsch,AUT,FW,1,0,1,0,1,0,1,0.18,0.0,0
37,Petar Sucic,CRO,MF,1,2,3,33,1,2,0,0.14,7.07,0
37,Lautaro Martinez,ARG,FW,1,4,10,30,9,1,2,2.17,1.38,0
37,Luis Romo,MEX,MF,1,1,3,33,1,2,0,0.1,10.05,0
37,Nico Gonzalez,ARG,MF,1,1,7,0,7,0,4,0.48,0.0,0
37,Christian Pulisic,USA,FW,1,2,4,0,2,2,0,0.42,0.0,1
37,Kevin Rodriguez,ECU,FW,1,1,6,0,6,0,2,0.68,0.0,0
37,Gabriel Magalhaes,BRA,DF,1,0,1,0,1,0,0,0.03,0.0,0
37,Pedro Vite,ECU,MF,1,1,4,0,1,3,0,0.23,0.0,2
37,Rodrigo De Paul,ARG,MF,1,1,2,0,0,2,0,0.06,0.0,1
37,Rayan,BRA,FW,1,2,5,0,3,2,1,0.76,0.0,1
37,Gonzalo Montiel,ARG,DF,1,0,1,0,1,0,0,0.15,0.0,0
37,Facundo Medina,ARG,DF,1,0,0,0,0,0,0,0.0,0.0,0
37,Alexis Mac Allister,ARG,MF,1,4,13,8,10,3,9,1.92,0.52,0
